lines,chars,functions,loops,conditionals,recursion,arrays,pointers,structs,globals,function_calls,complexity,nesting,malloc_usage,stdio_usage,comments,blank_lines,O0_time,O1_time,O2_time,O3_time,best_flag
338,8124,14,12,40,1,9,90,37,0,71,66,5,1,1,32,66,0.0110494100,0.0094840100,0.0090477375,0.0092867500,O2
30,618,2,2,1,0,4,1,0,0,5,5,4,0,1,0,5,0.0092311300,0.0099867500,0.0096752300,0.0107213100,O0
99,2808,5,3,9,1,8,18,11,0,39,15,4,1,1,6,18,0.0094184900,0.0094120300,0.0093589100,0.0090093167,O3
65,1500,3,4,2,0,6,17,11,0,10,8,4,1,1,2,12,0.0091081900,0.0092430800,0.0093026500,0.0093024333,O0
174,3393,11,2,14,0,0,16,15,0,42,22,3,1,1,13,40,0.0094788000,0.0092233200,0.0093924700,0.0096158100,O1
145,2728,6,2,8,1,0,28,31,0,25,11,3,1,1,4,37,0.0093005875,0.0108348400,0.0094478800,0.0096012800,O0
126,2842,6,3,14,1,0,23,14,0,17,21,6,1,1,8,23,0.0101661900,0.0107025600,0.0092036200,0.0157666500,O2
27,720,2,0,0,0,0,0,0,0,15,2,1,0,1,5,5,0.0107668000,0.0114724200,0.0094640900,0.0103410100,O2
158,3291,10,5,10,0,0,14,14,0,66,20,3,1,1,13,37,0.0100606800,0.0094066100,0.0098193400,0.0097705900,O1
49,1120,2,4,1,0,8,12,0,0,7,7,2,1,1,7,11,0.0085167100,0.0091572500,0.0094550100,0.0091468200,O0
41,797,2,3,3,0,4,2,0,0,13,8,2,0,1,0,10,0.0092312200,0.0095581000,0.0088574625,0.0089598700,O2
110,2313,3,8,5,0,0,17,15,0,11,18,3,1,1,2,21,0.0093634200,0.0091422200,0.0090334400,0.0092365250,O2
32,556,2,3,2,0,8,0,0,0,5,6,3,0,1,0,5,0.0090721000,0.0092013625,0.0095798400,0.0094406800,O0
47,888,2,2,6,0,12,12,0,0,7,9,3,1,1,2,10,0.0093490800,0.0095202200,0.0098531000,0.0091403400,O3
37,638,3,2,0,0,4,3,0,0,8,3,2,0,1,0,9,0.0111619500,0.0100964400,0.0093733900,0.0104919300,O2
34,598,2,2,1,0,9,0,0,0,5,4,3,0,1,0,5,0.0092924100,0.0090822500,0.0125323100,0.0093764750,O1
42,807,3,1,2,0,0,0,0,0,18,4,3,0,1,2,8,0.0093451600,0.0092279000,0.0094170400,0.0091220400,O3
84,1835,5,10,6,1,23,9,0,0,15,19,4,0,1,3,16,0.0093351900,0.0090291200,0.0092684500,0.0099533625,O1
188,5561,11,5,18,0,37,43,9,0,71,26,4,1,1,12,19,0.0093710200,0.0090507625,0.0092908800,0.0093818300,O1
63,1630,3,4,6,0,19,8,0,0,12,14,5,1,1,3,5,0.0094049500,0.0092204600,0.0093276300,0.0093629000,O1
57,1233,2,3,3,0,3,11,0,0,8,7,4,1,1,5,12,0.0331547700,0.0319354100,0.0354486100,0.0316155400,O3
37,972,2,3,1,0,17,1,0,0,11,7,3,0,1,0,8,0.0098349600,0.0100204100,0.0100295100,0.0099350200,O0
95,2147,4,6,2,1,6,32,0,0,17,10,3,1,1,27,13,0.0096635500,0.0101072125,0.0099406300,0.0098039800,O0
44,1069,4,2,3,1,7,6,0,0,12,8,3,1,1,6,4,0.0097798600,0.0099769600,0.0098857167,0.0101502100,O0
41,661,2,1,2,0,6,0,0,0,4,4,2,0,1,16,5,0.0097486600,0.0094937500,0.0089914300,0.0093153875,O2
78,1972,2,11,4,0,27,18,0,0,11,20,3,1,1,3,10,0.0102070000,0.0100385400,0.0098997300,0.0100817500,O2
62,1438,2,3,3,0,9,6,0,0,14,8,4,1,1,6,10,0.0098638300,0.0099422500,0.0099476900,0.0092309000,O3
