299.c | uncertain_best_flag | {'-O0': 0.009390099999654922, '-O1': 0.010569989999748942, '-O2': 0.0093150799997602, '-O3': 0.009307609999996202}
31.c | uncertain_best_flag | {'-O0': 0.009147610000400163, '-O1': 0.009206840000479133, '-O2': 0.009317279999959283, '-O3': 0.009296250000443252}
313.c | uncertain_best_flag | {'-O0': 0.009179070000209321, '-O1': 0.009054619999733404, '-O2': 0.009051570000156061, '-O3': 0.00921684000059031}
33.c | uncertain_best_flag | {'-O0': 0.009053770000355144, '-O1': 0.009264370000346389, '-O2': 0.009425630000441743, '-O3': 0.009066069999789761}
35.c | uncertain_best_flag | {'-O0': 0.01003620999999839, '-O1': 0.00931819999950676, '-O2': 0.009288460000061605, '-O3': 0.009274150000237569}
36.c | uncertain_best_flag | {'-O0': 0.009187860000020009, '-O1': 0.009240119999230956, '-O2': 0.00916633000033471, '-O3': 0.009192599999551021}
43.c | uncertain_best_flag | {'-O0': 0.010037480000210052, '-O1': 0.009791519999816955, '-O2': 0.009724725000751278, '-O3': 0.010293962499872578}
44.c | uncertain_best_flag | {'-O0': 0.010110180000265246, '-O1': 0.010031224999920596, '-O2': 0.0099598299997524, '-O3': 0.010193189999881724}
48.c | uncertain_best_flag | {'-O0': 0.009832609999466512, '-O1': 0.009796290000849694, '-O2': 0.009739824999996927, '-O3': 0.009920700000293436}
50.c | uncertain_best_flag | {'-O0': 0.00977853000003961, '-O1': 0.009853470000416564, '-O2': 0.009906859999682638, '-O3': 0.009681780000391882}
55.c | uncertain_best_flag | {'-O0': 0.009973125000442451, '-O1': 0.009858579999490757, '-O2': 0.009780870000940921, '-O3': 0.0099550875006571}
58.c | uncertain_best_flag | {'-O0': 0.009843690000707284, '-O1': 0.009851809999963735, '-O2': 0.010006959999736864, '-O3': 0.010081919999356615}
59.c | uncertain_best_flag | {'-O0': 0.009806162500353821, '-O1': 0.009877559999949881, '-O2': 0.009863789999690198, '-O3': 0.010787020000680058}
61.c | uncertain_best_flag | {'-O0': 0.009675590000006196, '-O1': 0.009580900000401016, '-O2': 0.009870087499393776, '-O3': 0.011331239999890386}
62.c | uncertain_best_flag | {'-O0': 0.013271910000003117, '-O1': 0.009478874999558684, '-O2': 0.009793310000532074, '-O3': 0.009564100000413116}
64.c | uncertain_best_flag | {'-O0': 0.009947974999704456, '-O1': 0.009763687500480955, '-O2': 0.009857174999979179, '-O3': 0.010536550000142596}
66.c | uncertain_best_flag | {'-O0': 0.009696590000203287, '-O1': 0.009670639999239939, '-O2': 0.009980989999348822, '-O3': 0.009991100000206643}
67.c | uncertain_best_flag | {'-O0': 0.009775379999700818, '-O1': 0.009710659999473136, '-O2': 0.009760349999669415, '-O3': 0.009855630000311066}
69.c | uncertain_best_flag | {'-O0': 0.009971020000739373, '-O1': 0.010035112499508614, '-O2': 0.009834330000194314, '-O3': 0.009787989999858837}
7.c | uncertain_best_flag | {'-O0': 0.00958946999944601, '-O1': 0.009986400000343565, '-O2': 0.009545340000295255, '-O3': 0.009651789998679305}
